activity,time
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,15
NA,15
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,15
NA,15
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,15
NA,15
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,15
NA,15
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,15
NA,15
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,30
NA,15
NA,15
NA,15
BREAK,15
NA,15
